bus_number,operator_type,service_variant,is_ac,origin,destination,route_stops,listed_stop_count,pandal_id,pandal_name,pandal_region,pandal_latitude,pandal_longitude,nearest_metro,nearest_metro_distance_km,matched_bus_stop,mapping_method,mapping_confidence,route_data_source,pandal_data_source
30A,Private,Standard,False,Sinthee,Esplanade,Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30C,Private,Standard,False,Hatiara,Babughat,Hela Battala;Jyangra;Ashwini Nagar;Baguiati;Kestopur;Dumdum Park;Laketown;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade,19,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
43,Private,Standard,False,Dakshineshwar,Esplanade,Alambazar;Deshbandhu Road;Bonhooghly;Baranagar Bazar;Cossipore;Bibibazar;Chitpur Bridge;Bagbazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
47B,Private,Standard,False,Laketown,Dhanmath,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade;Park Street;Maidan Metro;Rabindra Sadan;Bhowanipore;Hazra More;Kalighat;Rashbehari;Rabindra Sarovar;Tollygunge Phari;Anwar Shah Road;Lake Gardens;South City;Jadavpur PS;Sapuipara;Kalikapur;EM Bypass;Ruby Hospital;Acropolis Mall,30,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
78,Private,Standard,False,Barrackpore Court,Esplanade,Titagarh;Khardah;Sodepur Girja;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,17,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
211,Private,Standard,False,Ahiritola,Kharibari,BK Paul More;Sovabazar;Hatibagan;Khanna Cinema;Ultadanga;Sreebhumi;Laketown;Dumdum Park;Kestopur;Baguiati;Lokenath Mandir;Chinar Park;Salua Bazar;Rajarhat Chowmatha,14,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214,Private,Standard,False,Sajirhat,Babughat,Sodepur Station;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Dalhousie,15,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214A,Private,Standard,False,Sodepur Girja,Esplanade,Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215/1,Private,Standard,False,Laketown VIP,Howrah Station,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,10,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215A,Private,Standard,False,Sector V,Howrah Station,SDF More;College More;Wipro More;Karunamoyee;Saltlake 9 Tank;Baisakhi More;Saltlake 4 Tank;Saltlake PNB;Ultadanga;Khanna Cinema;Hatibagan;Sovabazar;BK Paul More;Ahiritola;Jorabagan;Nimtala Ghat;Barabazar,17,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
219/1,Private,Standard,False,Nagerbazar,Howrah Station,Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,12,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
222,Private,Standard,False,Sakher Bazar,Dunlop More,Behala Chowrasta;Behala 14 No.;Majerhat;Mominpore;Kidderpore;Hastings;PTS;Rabindra Sadan;Maidan Metro;Park Street;Esplanade;Chandni Market;Central Metro;MG Road;Girish Park;Sovabazar;Shyambazar;Chiria More;Sinthee More;Tobin Road;Bonhooghly,21,1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Shobhabazar Sutanuti,0.5,sovabazar metro,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
