pandal_id,pandal_name,eatery_name,clean_name,cuisine_type,distance_m,distance_km,budget_for_two_inr,best_recommended_item,eatery_latitude,eatery_longitude
1,Ahiritola Jubak Brinda Durga Puja,Mitra Cafe (Near Ahiritola Jubak Brinda Durga Puja),Mitra Cafe,Historic Cabin / Bengali Snacks,650,0.65,350,Fish Kabiraji & Mutton Brain Chop,22.597186,88.364476
1,Ahiritola Jubak Brinda Durga Puja,Nobin Chandra Das Sweets (Near Ahiritola Jubak Brinda Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,860,0.86,200,Abar Khaobo & Traditional Rosogolla,22.592744,88.350745
2,Amherst Sarbojanin Durgotsab,Bhooter Raja Dilo Bor (Near Amherst Sarbojanin Durgotsab),Bhooter Raja Dilo Bor,Traditional Bengali Dining,530,0.53,850,"Thali (Bhat, Sukto, Ilish, Mangsho)",22.587998,88.370208
2,Amherst Sarbojanin Durgotsab,Putiram Sweets (Near Amherst Sarbojanin Durgotsab),Putiram Sweets,Traditional Bengali Breakfast,630,0.63,150,Radhaballabhi with Cholar Dal,22.579445,88.36368
3,Aswiningar Sarbojanin Durgotsav,Nobin Chandra Das Sweets (Near Aswiningar Sarbojanin Durgotsav),Nobin Chandra Das Sweets,Sweet Shop,840,0.84,200,Abar Khaobo & Traditional Rosogolla,22.605588,88.369083
3,Aswiningar Sarbojanin Durgotsav,Aheli Express (Near Aswiningar Sarbojanin Durgotsav),Aheli Express,Bengali Fine Fast,730,0.73,700,Macher Paturi & Chingri Malai Curry,22.611071,88.372116
4,Baghbazar Palli Puja O Pradarshani,Haji Biryani (Near Baghbazar Palli Puja O Pradarshani),Haji Biryani,Mughlai,590,0.59,400,Awadhi Mutton Biryani,22.598628,88.368972
4,Baghbazar Palli Puja O Pradarshani,Das Cabin (Near Baghbazar Palli Puja O Pradarshani),Das Cabin,Cabin Snacks,650,0.65,250,Mutton Moglai & Kobiraji,22.604616,88.372464
5,Bandhudal Durgotsob,Golbari (New Punjabi Hotel) (Near Bandhudal Durgotsob),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,560,0.56,450,Kosha Mangsho & Roomali Roti,22.606724,88.357076
5,Bandhudal Durgotsob,Das Cabin (Near Bandhudal Durgotsob),Das Cabin,Cabin Snacks,800,0.8,250,Mutton Moglai & Kobiraji,22.606354,88.354246
