station_id,name,bengali_name,line,line_code,latitude,longitude,is_interchange,interchange_lines,opens_at,closes_at
1,Dakshineswar,দক্ষিণেশ্বর,Blue Line (North-South),BLUE,22.653900,88.364800,false,,06:30 AM,10:30 PM
2,Baranagar,বরানগর,Blue Line (North-South),BLUE,22.641700,88.375200,false,,06:30 AM,10:30 PM
3,Noapara,নোয়াপাড়া,Blue Line (North-South),BLUE,22.637500,88.384700,false,,06:30 AM,10:30 PM
4,Dum Dum,দমদম,Blue Line (North-South),BLUE,22.622500,88.378300,true,Eastern Railway,06:30 AM,11:00 PM
5,Belgachia,বেলগাছিয়া,Blue Line (North-South),BLUE,22.606200,88.380400,false,,06:30 AM,10:45 PM
6,Shyambazar,শ্যামবাজার,Blue Line (North-South),BLUE,22.600800,88.370500,false,,06:30 AM,11:00 PM
7,Shobhabazar Sutanuti,শোভাবাজার সুতানুটি,Blue Line (North-South),BLUE,22.595600,88.362100,false,,06:30 AM,11:00 PM
8,Girish Park,গিরিশ পার্ক,Blue Line (North-South),BLUE,22.585500,88.359800,false,,06:30 AM,11:00 PM
9,Mahatma Gandhi Road,মহাত্মা গান্ধী রোড,Blue Line (North-South),BLUE,22.580400,88.358900,false,,06:30 AM,11:00 PM
10,Central,সেন্ট্রাল,Blue Line (North-South),BLUE,22.568400,88.357400,false,,06:30 AM,11:00 PM
11,Chandni Chowk,চাঁদনী চক,Blue Line (North-South),BLUE,22.563800,88.354700,false,,06:30 AM,11:00 PM
12,Esplanade,এসপ্ল্যানেড,Blue Line (North-South),BLUE,22.564900,88.351700,true,Green Line / Purple Line,06:30 AM,11:30 PM
13,Park Street,পার্ক স্ট্রিট,Blue Line (North-South),BLUE,22.553900,88.351900,false,,06:30 AM,11:30 PM
14,Maidan,ময়দান,Blue Line (North-South),BLUE,22.545100,88.349600,false,,06:30 AM,11:00 PM
15,Rabindra Sadan,রবীন্দ্র সদন,Blue Line (North-South),BLUE,22.539100,88.347500,false,,06:30 AM,11:30 PM
16,Netaji Bhavan,নেতাজি ভবন,Blue Line (North-South),BLUE,22.533200,88.346800,false,,06:30 AM,11:00 PM
17,Jatin Das Park,যতীন দাস পার্ক,Blue Line (North-South),BLUE,22.526200,88.346200,false,,06:30 AM,11:00 PM
18,Kalighat,কালীঘাট,Blue Line (North-South),BLUE,22.520800,88.345800,false,,06:30 AM,11:30 PM
19,Rabindra Sarobar,রবীন্দ্র সরোবর,Blue Line (North-South),BLUE,22.510600,88.346300,true,Eastern Railway,06:30 AM,11:00 PM
20,Mahanayak Uttam Kumar,মহানায়ক উত্তম কুমার,Blue Line (North-South),BLUE,22.496500,88.346500,false,,06:30 AM,11:00 PM
21,Netaji,নেতাজি,Blue Line (North-South),BLUE,22.483100,88.347100,false,,06:30 AM,10:45 PM
22,Masterda Surya Sen,মাস্টারদা সূর্য সেন,Blue Line (North-South),BLUE,22.470500,88.351400,false,,06:30 AM,10:45 PM
23,Gitanjali,গীতাঞ্জলি,Blue Line (North-South),BLUE,22.461900,88.359900,false,,06:30 AM,10:45 PM
