pandal_id,pandal_name,pandal_region,pandal_latitude,pandal_longitude,eatery_name,cuisine_type,distance_m,distance_km,budget_for_two_inr,best_recommended_item,eatery_latitude,eatery_longitude
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Mitra Cafe (Near Ahiritola Jubak Brinda Durga Puja),Historic Cabin / Bengali Snacks,650,0.65,350,Fish Kabiraji & Mutton Brain Chop,22.597186,88.364476
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,Nobin Chandra Das Sweets (Near Ahiritola Jubak Brinda Durga Puja),Sweet Shop,860,0.86,200,Abar Khaobo & Traditional Rosogolla,22.592744,88.350745
2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Bhooter Raja Dilo Bor (Near Amherst Sarbojanin Durgotsab),Traditional Bengali Dining,530,0.53,850,"Thali (Bhat, Sukto, Ilish, Mangsho)",22.587998,88.370208
2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,Putiram Sweets (Near Amherst Sarbojanin Durgotsab),Traditional Bengali Breakfast,630,0.63,150,Radhaballabhi with Cholar Dal,22.579445,88.36368
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Nobin Chandra Das Sweets (Near Aswiningar Sarbojanin Durgotsav),Sweet Shop,840,0.84,200,Abar Khaobo & Traditional Rosogolla,22.605588,88.369083
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Aheli Express (Near Aswiningar Sarbojanin Durgotsav),Bengali Fine Fast,730,0.73,700,Macher Paturi & Chingri Malai Curry,22.611071,88.372116
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Haji Biryani (Near Baghbazar Palli Puja O Pradarshani),Mughlai,590,0.59,400,Awadhi Mutton Biryani,22.598628,88.368972
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Das Cabin (Near Baghbazar Palli Puja O Pradarshani),Cabin Snacks,650,0.65,250,Mutton Moglai & Kobiraji,22.604616,88.372464
5,Bandhudal Durgotsob,North Kolkata,22.603812,88.361534,Golbari (New Punjabi Hotel) (Near Bandhudal Durgotsob),Iconic Mughlai / Bengali,560,0.56,450,Kosha Mangsho & Roomali Roti,22.606724,88.357076
5,Bandhudal Durgotsob,North Kolkata,22.603812,88.361534,Das Cabin (Near Bandhudal Durgotsob),Cabin Snacks,800,0.8,250,Mutton Moglai & Kobiraji,22.606354,88.354246
5,Bandhudal Durgotsob,North Kolkata,22.603812,88.361534,Putiram Sweets (Near Bandhudal Durgotsob),Traditional Bengali Breakfast,860,0.86,150,Radhaballabhi with Cholar Dal,22.596235,88.359646
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,22.611623,88.371745,Golbari (New Punjabi Hotel) (Near Beadon Street Sarbojanin Durgotsav),Iconic Mughlai / Bengali,900,0.9,450,Kosha Mangsho & Roomali Roti,22.605638,88.365809
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,22.611623,88.371745,Allen Kitchen (Near Beadon Street Sarbojanin Durgotsav),Heritage Cabin,920,0.92,400,Prawn Cutlet (pure ghee fried),22.604266,88.367563
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,22.611623,88.371745,Chittaranjan Mistanna Bhandar (Near Beadon Street Sarbojanin Durgotsav),Heritage Sweet Shop,840,0.84,180,White Rosogolla & Mishti Doi,22.618907,88.374066
7,Belgachia Sadharan Durgotsab,North Kolkata,22.595412,88.381923,Haji Biryani (Near Belgachia Sadharan Durgotsab),Mughlai,970,0.97,400,Awadhi Mutton Biryani,22.600802,88.374477
7,Belgachia Sadharan Durgotsab,North Kolkata,22.595412,88.381923,Chittaranjan Mistanna Bhandar (Near Belgachia Sadharan Durgotsab),Heritage Sweet Shop,920,0.92,180,White Rosogolla & Mishti Doi,22.589342,88.388046
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,22.603234,88.368145,Aheli Express (Near Belgachia Yuba Sammilani Durga Puja),Bengali Fine Fast,590,0.59,700,Macher Paturi & Chingri Malai Curry,22.599956,88.372675
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,22.603234,88.368145,Basanta Cabin (Near Belgachia Yuba Sammilani Durga Puja),Heritage Cabin,830,0.83,220,Mughlai Paratha & Alur Dom,22.600996,88.360436
