pandal_id,pandal_name,region,source_year,latitude,longitude,nearest_metro,nearest_metro_distance_km,nearest_railway_station,popularity_score,expected_crowd_level,famous,family_friendly,best_time_to_visit,theme,description,image_url,metro_assignment_note
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,2025,,,Shobhabazar Sutanuti,,,,,,,,,,,web-verified station address; locality-based assignment
2,Amherst Sarbojanin Durgotsab,North Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
5,Bandhudal Durgotsob,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
7,Belgachia Sadharan Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
9,Bhagabati Park Durga Puja Committee,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
10,Bharatiya Tarun Sangha Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
11,Brindaban Matri Mandir Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
12,Calcutta Youth Forum,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
13,Campbagan Sadharan Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
14,Chaltabagan Lohapatty Durga Puja,North Kolkata,2025,,,Girish Park,,,,,,,,,,,web-verified station address; locality-based assignment
15,Chorebagan Sarbojanin Durgotsab Samity,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
16,Cossipore Shakti Sangha Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
17,Dakshin Rabindrapally Sarbojanin Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
18,Darjeepara Sarbojanin Durgotsab Samity,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
19,Deshbandhunagar Sarbojanin Durgotsab,North Kolkata,2025,,,Dum Dum,,,,,,,,,,,web-verified station address; locality-based assignment
20,Dum Dum Park Bharat Chakra Durga Puja,North Kolkata,2025,,,Dum Dum,,,,,,,,,,,web-verified station address; locality-based assignment
21,Dum Dum Park Sarbojanin Durga Puja,North Kolkata,2025,,,Dum Dum,,,,,,,,,,,web-verified station address; locality-based assignment
22,Goabagan Sarodatsav Sammilani Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
23,Golaghata Sammilani Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
24,Grey Street Sarbojanin Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
25,Halsibagan Sarbojanin Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
26,Hari Ghosh Street Sarbojanin,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
27,Hatibagan Nabinpally Sarbojanin Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
28,Jagat Mukherjee Park Durga Puja,North Kolkata,2025,,,Shobhabazar Sutanuti,,,,,,,,,,,web-verified station address; locality-based assignment
29,Jokermath Sarbojonin Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
30,Kailash Bose Street Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
31,Kankurgachi Sarbojanin Durgotsab,North Kolkata,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
32,Kashi Bose Lane Durga Puja Committee,North Kolkata,2025,,,Girish Park,,,,,,,,,,,web-verified station address; locality-based assignment
33,Kumartuli Park Sarbojanin Durgotsab Committee,North Kolkata,2025,,,Shobhabazar Sutanuti,,,,,,,,,,,web-verified station address; locality-based assignment
34,Kumartuli Sarbojanin Durgotsab,North Kolkata,2025,,,Shobhabazar Sutanuti,,,,,,,,,,,web-verified station address; locality-based assignment
35,Lake View Park Sarbojanin Durgotsav Samity,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
36,Mahalla Sarbojanin Durgautsab Samity,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
37,Mitali Kankurgachi Durga Puja,North Kolkata,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
38,Nalin Sarkar Street Sarbojanin Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
39,Nimtala Sarbojanin Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
40,Sreebhumi Sporting Club Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
41,Tala Barowari Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
42,Tala Dakshin Pally Durgotsav Committee,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
43,Tala Park 15 Pally Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
44,Telengabagan Sarbojanin Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
45,Ultadanga Jagarani Sangha Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
46,Ultadanga Pallyshree Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
47,Ultadanga Sangrami Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
48,Young Citizens Club Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment
49,21 Pally Sarbojanin Durgotsab Samiti,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
50,22 Palli Sarodotsav,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
51,25 Pally Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
52,64 Pally Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
53,66 Pally Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
54,70 Pally Sarbojanin Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
55,95 Pally Jodhpur Park Durga Puja,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
56,Abasar Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
57,Abasorika Durgotsav Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
58,Adi Ballygunge Sarbojanin Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
59,Adi Dakshin Kalikata Barowari Samittee,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
60,Agradut Udaya Sangha Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
61,Arunodaya Adhibashi Brinder Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
62,Babu Bagan Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
63,Badamtala Ashar Sangha Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
64,Baghajatin B and C Block Durgotsav Committee,South Kolkata,2025,,,Masterda Surya Sen,,,,,,,,,,,web-verified station address; locality-based assignment
65,Baghajatin Tarun Sangha Durgotsav,South Kolkata,2025,,,Masterda Surya Sen,,,,,,,,,,,web-verified station address; locality-based assignment
66,Baishnabghata Paschimpara Sarbojanin Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
67,Ballygunge Cultural Association Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
68,Ballygunge Pally Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
69,Bansdroni Sammilita Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Masterda Surya Sen,,,,,,,,,,,web-verified station address; locality-based assignment
70,Bediadanga Sarbojanin Durgotsav Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
71,Beltala Sarbojanin Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
72,Bengal United Club Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
73,Bhawanipore Mahapuja Samity,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
74,Bhowanipore De Bari Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
75,Bhowanipore Mitra Bari Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
76,Bhowanipur 75 Palli Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
77,Bhowanipur Muktadal Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
78,Bhowanipur Ritwik Club Durga Puja Committee,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
79,Bhowanipur Sarbojanin Durgotsav,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
80,Bhowanipur Students Club Sarbojanin Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
81,Bhowanipur Swadhin Sangha Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
82,Bhowanipur Udayan Club Durga Puja,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
83,Chetla Agrani Club Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
84,Chetla Sarbasadharaner Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
85,Dakshin Kolkata Sarbojanin Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
86,Deshapriya Park Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
87,Dhakuria Pragati Sangha Durga Puja,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
88,Dhakuria Sarbojanin Durgotsab,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
89,Ekdalia Evergreen Club Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
90,Falguni Sangha Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
91,Garfa Sarbojanin Durgotsav,South Kolkata,2025,,,Kavi Nazrul,,,,,,,,,,,web-verified station address; locality-based assignment
92,Golpark Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
93,Gopal Nagar Kalyan Sangha Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
94,Harish Park Sarbojanin Durgotsab Samity,South Kolkata,2025,,,Netaji Bhavan,,,,,,,,,,,web-verified station address; locality-based assignment
95,Hindustan Pally Durga Puja Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
96,Jubamaitry Kalighat Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
97,Kalighat Nepal Bhattacharjee Street Club,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
98,Kasba R.K. Chatterjee Road Adhibasi Brinda Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
99,Kasba Renaissance Club,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
100,Kasba Shakti Sangha Pallybasi Durgotsav Samity,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
101,Ketopole Sammilani Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
102,Keyatala Pally Samity Durga Puja,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
103,Kheyali Sangha Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
104,Khidderpore Sarbojanin Durgotsab,South Kolkata,2025,,,Majerhat,,,,,,,,,,,web-verified station address; locality-based assignment
105,Khidderpur 75 Pally Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
106,Kidderpore Jubaghosthi Durga Puja,South Kolkata,2025,,,Majerhat,,,,,,,,,,,web-verified station address; locality-based assignment
107,Kidderpore Pally Saradiya Durga Puja,South Kolkata,2025,,,Majerhat,,,,,,,,,,,web-verified station address; locality-based assignment
108,Lake Gardens Peoples Association Durga Puja,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
109,Lake Youth Corner Durga Puja,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
110,Mahamayatala Sarbojanin Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
111,Megacity Residents Puja Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
112,Mohila Mahal Club Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
113,Monohar Pukur Baisakhi Sangha,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
114,Mudiali Club Sarbojanin Durga Puja,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
115,N.S.C. Sports Club Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
116,Naktala Udayan Sangha Durga Puja,South Kolkata,2025,,,Gitanjali,,,,,,,,,,,web-verified station address; locality-based assignment
117,Naskarpara Sarbojanin Durgotsav,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
118,New Alipore Suruchi Sangha Durga Puja,South Kolkata,2025,,,Majerhat,,,,,,,,,,,web-verified station address; locality-based assignment
119,New Santoshpur Adi Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
120,Paddapukur Barwari Samity,South Kolkata,2025,,,Jatin Das Park,,,,,,,,,,,web-verified station address; locality-based assignment
121,Paddapukur Youth Association Durga Puja,South Kolkata,2025,,,Jatin Das Park,,,,,,,,,,,web-verified station address; locality-based assignment
