pandal_id,pandal_name,region,source_year,latitude,longitude,nearest_metro,nearest_metro_distance_km,nearest_railway_station,popularity_score,expected_crowd_level,famous,family_friendly,best_time_to_visit,theme,description,image_url,metro_assignment_note,geocode_query,geocode_status,geocoded_display_name
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,2025,,,Shobhabazar Sutanuti,,,,,,,,,,,web-verified station address; locality-based assignment,"Ahiritola Jubak Brinda Durga Puja, North Kolkata, Kolkata, West Bengal, India",not_found,
2,Amherst Sarbojanin Durgotsab,North Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment,"Amherst Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India",not_found,
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Aswiningar Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India",not_found,
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, India",not_found,
5,Bandhudal Durgotsob,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, India",not_found,
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Beadon Street Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India",not_found,
7,Belgachia Sadharan Durgotsab,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, India",not_found,
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Belgachia Yuba Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India",not_found,
9,Bhagabati Park Durga Puja Committee,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Bhagabati Park Durga Puja Committee, North Kolkata, Kolkata, West Bengal, India",not_found,
10,Bharatiya Tarun Sangha Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Bharatiya Tarun Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India",not_found,
11,Brindaban Matri Mandir Durga Puja,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Brindaban Matri Mandir Durga Puja, North Kolkata, Kolkata, West Bengal, India",not_found,
12,Calcutta Youth Forum,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, India",not_found,
13,Campbagan Sadharan Durgotsav,North Kolkata,2025,,,Shyambazar,,,,,,,,,,,web-verified station address; locality-based assignment,"Campbagan Sadharan Durgotsav, North Kolkata, Kolkata, West Bengal, India",not_found,
14,Chaltabagan Lohapatty Durga Puja,North Kolkata,2025,,,Girish Park,,,,,,,,,,,web-verified station address; locality-based assignment,"Chaltabagan Lohapatty Durga Puja, North Kolkata, Kolkata, West Bengal, India",not_found,
