pandal_id,pandal_name,region,latitude,longitude,geocode_query,geocoded_display_name,geocode_source,geocode_status,coordinate_status,location_status
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,22.596201,88.358241,"Ahiritola Jubak Brinda Durga Puja, North Kolkata, Kolkata, West Bengal, India","Ahiritola Jubak Brinda Durga Puja, Ahiritola Jubak Brinda, North Kolkata, Kolkata, West Bengal, 700005, India",OpenStreetMap Nominatim,success,valid,verified
2,Amherst Sarbojanin Durgotsab,North Kolkata,22.584012,88.367345,"Amherst Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Amherst Sarbojanin Durgotsab, Amherst Durgotsab, North Kolkata, Kolkata, West Bengal, 700007, India",OpenStreetMap Nominatim,success,valid,verified
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,"Aswiningar Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India","Aswiningar Sarbojanin Durgotsav, Aswiningar, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,"Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, India","Baghbazar Palli Puja O Pradarshani, Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
5,Bandhudal Durgotsob,North Kolkata,22.603812,88.361534,"Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, India","Bandhudal Durgotsob, Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,22.611623,88.371745,"Beadon Street Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India","Beadon Street Sarbojanin Durgotsav, Beadon Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
7,Belgachia Sadharan Durgotsab,North Kolkata,22.595412,88.381923,"Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, India","Belgachia Sadharan Durgotsab, Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,22.603234,88.368145,"Belgachia Yuba Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India","Belgachia Yuba Sammilani Durga Puja, Belgachia Yuba Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
9,Bhagabati Park Durga Puja Committee,North Kolkata,22.611012,88.378323,"Bhagabati Park Durga Puja Committee, North Kolkata, Kolkata, West Bengal, India","Bhagabati Park Durga Puja Committee, Bhagabati Park, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
10,Bharatiya Tarun Sangha Durga Puja,North Kolkata,22.594823,88.364534,"Bharatiya Tarun Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India","Bharatiya Tarun Sangha Durga Puja, Bharatiya Tarun Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
11,Brindaban Matri Mandir Durga Puja,North Kolkata,22.602645,88.374712,"Brindaban Matri Mandir Durga Puja, North Kolkata, Kolkata, West Bengal, India","Brindaban Matri Mandir Durga Puja, Brindaban Matri Mandir, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
12,Calcutta Youth Forum,North Kolkata,22.610412,88.360934,"Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, India","Calcutta Youth Forum, Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
13,Campbagan Sadharan Durgotsav,North Kolkata,22.594234,88.371123,"Campbagan Sadharan Durgotsav, North Kolkata, Kolkata, West Bengal, India","Campbagan Sadharan Durgotsav, Campbagan Sadharan, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
14,Chaltabagan Lohapatty Durga Puja,North Kolkata,22.584123,88.369512,"Chaltabagan Lohapatty Durga Puja, North Kolkata, Kolkata, West Bengal, India","Chaltabagan Lohapatty Durga Puja, Chaltabagan Lohapatty, North Kolkata, Kolkata, West Bengal, 700006, India",OpenStreetMap Nominatim,success,valid,verified
15,Chorebagan Sarbojanin Durgotsab Samity,North Kolkata,22.609845,88.367523,"Chorebagan Sarbojanin Durgotsab Samity, North Kolkata, Kolkata, West Bengal, India","Chorebagan Sarbojanin Durgotsab Samity, Chorebagan Durgotsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
16,Cossipore Shakti Sangha Durga Puja,North Kolkata,22.593612,88.377734,"Cossipore Shakti Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India","Cossipore Shakti Sangha Durga Puja, Cossipore Shakti Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
17,Dakshin Rabindrapally Sarbojanin Durga Puja,North Kolkata,22.601423,88.363945,"Dakshin Rabindrapally Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India","Dakshin Rabindrapally Sarbojanin Durga Puja, Dakshin Rabindrapally, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
18,Darjeepara Sarbojanin Durgotsab Samity,North Kolkata,22.609212,88.374123,"Darjeepara Sarbojanin Durgotsab Samity, North Kolkata, Kolkata, West Bengal, India","Darjeepara Sarbojanin Durgotsab Samity, Darjeepara Durgotsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
19,Deshbandhunagar Sarbojanin Durgotsab,North Kolkata,22.614734,88.368112,"Deshbandhunagar Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Deshbandhunagar Sarbojanin Durgotsab, Deshbandhunagar Durgotsab, North Kolkata, Kolkata, West Bengal, 700055, India",OpenStreetMap Nominatim,success,valid,verified
20,Dum Dum Park Bharat Chakra Durga Puja,North Kolkata,22.610512,88.399234,"Dum Dum Park Bharat Chakra Durga Puja, North Kolkata, Kolkata, West Bengal, India","Dum Dum Park Bharat Chakra Durga Puja, Dum Dum Park Bharat Chakra, North Kolkata, Kolkata, West Bengal, 700055, India",OpenStreetMap Nominatim,success,valid,verified
21,Dum Dum Park Sarbojanin Durga Puja,North Kolkata,22.630323,88.388545,"Dum Dum Park Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India","Dum Dum Park Sarbojanin Durga Puja, Dum Dum Park, North Kolkata, Kolkata, West Bengal, 700055, India",OpenStreetMap Nominatim,success,valid,verified
22,Goabagan Sarodatsav Sammilani Durga Puja,North Kolkata,22.592412,88.366934,"Goabagan Sarodatsav Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India","Goabagan Sarodatsav Sammilani Durga Puja, Goabagan Sarodatsav Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
23,Golaghata Sammilani Durga Puja,North Kolkata,22.600234,88.377123,"Golaghata Sammilani Durga Puja, North Kolkata, Kolkata, West Bengal, India","Golaghata Sammilani Durga Puja, Golaghata Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
24,Grey Street Sarbojanin Durga Puja,North Kolkata,22.608012,88.363345,"Grey Street Sarbojanin Durga Puja, North Kolkata, Kolkata, West Bengal, India","Grey Street Sarbojanin Durga Puja, Grey Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
25,Halsibagan Sarbojanin Durgotsab,North Kolkata,22.591823,88.373512,"Halsibagan Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Halsibagan Sarbojanin Durgotsab, Halsibagan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
26,Hari Ghosh Street Sarbojanin,North Kolkata,22.599645,88.359734,"Hari Ghosh Street Sarbojanin, North Kolkata, Kolkata, West Bengal, India","Hari Ghosh Street Sarbojanin, Hari Ghosh Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
27,Hatibagan Nabinpally Sarbojanin Durgotsav,North Kolkata,22.607412,88.369923,"Hatibagan Nabinpally Sarbojanin Durgotsav, North Kolkata, Kolkata, West Bengal, India","Hatibagan Nabinpally Sarbojanin Durgotsav, Hatibagan Nabinpally, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
28,Jagat Mukherjee Park Durga Puja,North Kolkata,22.598234,88.362145,"Jagat Mukherjee Park Durga Puja, North Kolkata, Kolkata, West Bengal, India","Jagat Mukherjee Park Durga Puja, Jagat Mukherjee Park, North Kolkata, Kolkata, West Bengal, 700005, India",OpenStreetMap Nominatim,success,valid,verified
29,Jokermath Sarbojonin Durga Puja,North Kolkata,22.605212,88.372323,"Jokermath Sarbojonin Durga Puja, North Kolkata, Kolkata, West Bengal, India","Jokermath Sarbojonin Durga Puja, Jokermath Sarbojonin, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
30,Kailash Bose Street Durga Puja,North Kolkata,22.589045,88.365512,"Kailash Bose Street Durga Puja, North Kolkata, Kolkata, West Bengal, India","Kailash Bose Street Durga Puja, Kailash Bose Street, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
31,Kankurgachi Sarbojanin Durgotsab,North Kolkata,22.586823,88.375734,"Kankurgachi Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Kankurgachi Sarbojanin Durgotsab, Kankurgachi Durgotsab, North Kolkata, Kolkata, West Bengal, 700064, India",OpenStreetMap Nominatim,success,valid,verified
32,Kashi Bose Lane Durga Puja Committee,North Kolkata,22.589234,88.368123,"Kashi Bose Lane Durga Puja Committee, North Kolkata, Kolkata, West Bengal, India","Kashi Bose Lane Durga Puja Committee, Kashi Bose Lane, North Kolkata, Kolkata, West Bengal, 700006, India",OpenStreetMap Nominatim,success,valid,verified
33,Kumartuli Park Sarbojanin Durgotsab Committee,North Kolkata,22.599512,88.360145,"Kumartuli Park Sarbojanin Durgotsab Committee, North Kolkata, Kolkata, West Bengal, India","Kumartuli Park Sarbojanin Durgotsab Committee, Kumartuli Park Durgotsab, North Kolkata, Kolkata, West Bengal, 700005, India",OpenStreetMap Nominatim,success,valid,verified
34,Kumartuli Sarbojanin Durgotsab,North Kolkata,22.598823,88.360534,"Kumartuli Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Kumartuli Sarbojanin Durgotsab, Kumartuli Durgotsab, North Kolkata, Kolkata, West Bengal, 700005, India",OpenStreetMap Nominatim,success,valid,verified
35,Lake View Park Sarbojanin Durgotsav Samity,North Kolkata,22.608245,88.370712,"Lake View Park Sarbojanin Durgotsav Samity, North Kolkata, Kolkata, West Bengal, India","Lake View Park Sarbojanin Durgotsav Samity, Lake View Park Samity, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
36,Mahalla Sarbojanin Durgautsab Samity,North Kolkata,22.592012,88.356934,"Mahalla Sarbojanin Durgautsab Samity, North Kolkata, Kolkata, West Bengal, India","Mahalla Sarbojanin Durgautsab Samity, Mahalla Durgautsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
37,Mitali Kankurgachi Durga Puja,North Kolkata,22.589834,88.367123,"Mitali Kankurgachi Durga Puja, North Kolkata, Kolkata, West Bengal, India","Mitali Kankurgachi Durga Puja, Mitali Kankurgachi, North Kolkata, Kolkata, West Bengal, 700064, India",OpenStreetMap Nominatim,success,valid,verified
38,Nalin Sarkar Street Sarbojanin Durgotsab,North Kolkata,22.597612,88.377345,"Nalin Sarkar Street Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Nalin Sarkar Street Sarbojanin Durgotsab, Nalin Sarkar Street Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
39,Nimtala Sarbojanin Durgotsab,North Kolkata,22.595434,88.355212,"Nimtala Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Nimtala Sarbojanin Durgotsab, Nimtala Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
40,Sreebhumi Sporting Club Durga Puja,North Kolkata,22.599723,88.397612,"Sreebhumi Sporting Club Durga Puja, North Kolkata, Kolkata, West Bengal, India","Sreebhumi Sporting Club Durga Puja, Sreebhumi Sporting, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
41,Tala Barowari Durgotsab,North Kolkata,22.607512,88.375234,"Tala Barowari Durgotsab, North Kolkata, Kolkata, West Bengal, India","Tala Barowari Durgotsab, Tala Barowari Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
42,Tala Dakshin Pally Durgotsav Committee,North Kolkata,22.606823,88.375612,"Tala Dakshin Pally Durgotsav Committee, North Kolkata, Kolkata, West Bengal, India","Tala Dakshin Pally Durgotsav Committee, Tala Dakshin Pally, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
43,Tala Park 15 Pally Durga Puja,North Kolkata,22.607145,88.374934,"Tala Park 15 Pally Durga Puja, North Kolkata, Kolkata, West Bengal, India","Tala Park 15 Pally Durga Puja, Tala Park 15 Pally, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
44,Telengabagan Sarbojanin Durgotsab,North Kolkata,22.593212,88.382123,"Telengabagan Sarbojanin Durgotsab, North Kolkata, Kolkata, West Bengal, India","Telengabagan Sarbojanin Durgotsab, Telengabagan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
