id,name,area,address,latitude,longitude,image,walking_distance,nearest_metro,popularity,crowd_level,theme,description,rating,organizer,opening_time,closing_time
1,Ahiritola Jubak Brinda Durga Puja,North Kolkata,"Ahiritola Jubak Brinda Durga Puja, Ahiritola Jubak Brinda, North Kolkata, Kolkata, West Bengal, 700005, India",22.596201,88.358241,https://images.pujapath.in/pandals/ahiritola_jubak_brinda_durga_puja.jpg,500,Shobhabazar Sutanuti,9.1,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
2,Amherst Sarbojanin Durgotsab,North Kolkata,"Amherst Sarbojanin Durgotsab, Amherst Durgotsab, North Kolkata, Kolkata, West Bengal, 700007, India",22.584012,88.367345,https://images.pujapath.in/pandals/amherst_sarbojanin_durgotsab.jpg,700,Mahatma Gandhi Road,7.4,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
3,Aswiningar Sarbojanin Durgotsav,North Kolkata,"Aswiningar Sarbojanin Durgotsav, Aswiningar, North Kolkata, Kolkata, West Bengal, 700004, India",22.612234,88.365123,https://images.pujapath.in/pandals/aswiningar_sarbojanin_durgotsav.jpg,900,Shyambazar,7.5,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
4,Baghbazar Palli Puja O Pradarshani,North Kolkata,"Baghbazar Palli Puja O Pradarshani, Baghbazar Palli Puja O Pradarshani, North Kolkata, Kolkata, West Bengal, 700004, India",22.603345,88.366289,https://images.pujapath.in/pandals/baghbazar_palli_puja_o_pradarshani.jpg,1100,Shyambazar,9.4,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
5,Bandhudal Durgotsob,North Kolkata,"Bandhudal Durgotsob, Bandhudal Durgotsob, North Kolkata, Kolkata, West Bengal, 700004, India",22.603812,88.361534,https://images.pujapath.in/pandals/bandhudal_durgotsob.jpg,300,Shyambazar,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
6,Beadon Street Sarbojanin Durgotsav,North Kolkata,"Beadon Street Sarbojanin Durgotsav, Beadon Street, North Kolkata, Kolkata, West Bengal, 700004, India",22.611623,88.371745,https://images.pujapath.in/pandals/beadon_street_sarbojanin_durgotsav.jpg,500,Shyambazar,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
7,Belgachia Sadharan Durgotsab,North Kolkata,"Belgachia Sadharan Durgotsab, Belgachia Sadharan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",22.595412,88.381923,https://images.pujapath.in/pandals/belgachia_sadharan_durgotsab.jpg,700,Shyambazar,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
8,Belgachia Yuba Sammilani Durga Puja,North Kolkata,"Belgachia Yuba Sammilani Durga Puja, Belgachia Yuba Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",22.603234,88.368145,https://images.pujapath.in/pandals/belgachia_yuba_sammilani_durga_puja.jpg,900,Shyambazar,8.0,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
9,Bhagabati Park Durga Puja Committee,North Kolkata,"Bhagabati Park Durga Puja Committee, Bhagabati Park, North Kolkata, Kolkata, West Bengal, 700004, India",22.611012,88.378323,https://images.pujapath.in/pandals/bhagabati_park_durga_puja_committee.jpg,1100,Shyambazar,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
10,Bharatiya Tarun Sangha Durga Puja,North Kolkata,"Bharatiya Tarun Sangha Durga Puja, Bharatiya Tarun Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",22.594823,88.364534,https://images.pujapath.in/pandals/bharatiya_tarun_sangha_durga_puja.jpg,300,Shyambazar,8.2,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
11,Brindaban Matri Mandir Durga Puja,North Kolkata,"Brindaban Matri Mandir Durga Puja, Brindaban Matri Mandir, North Kolkata, Kolkata, West Bengal, 700004, India",22.602645,88.374712,https://images.pujapath.in/pandals/brindaban_matri_mandir_durga_puja.jpg,500,Shyambazar,8.3,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
